wine_ID,target
5316,3
5210,5
3518,7
1622,4
2443,5
3521,8
5211,5
4936,3
1161,3
5993,6
1035,7
3788,5
3130,8
864,5
4797,8
2572,4
3397,6
311,3
6404,4
882,7
5334,5
5045,5
502,4
1817,4
4434,4
3816,4
4315,8
4442,5
170,8
1748,4
3071,8
4275,6
4786,8
6263,5
2768,4
5697,3
1831,8
5452,3
6095,5
5579,5
3029,8
3694,6
641,5
5424,6
6380,5
1829,3
3476,8
48,4
3885,8
2799,8
1139,8
4323,7
5449,6
3728,8
3054,8
2657,7
3241,8
6022,6
3164,7
1990,4
444,8
6401,6
3141,8
4068,3
5838,7
982,8
831,7
202,3
4982,6
2830,8
1414,8
2806,5
1806,4
3537,4
910,4
2401,4
2066,4
6433,5
5126,6
4681,8
4459,6
4418,6
1362,7
2590,8
768,6
2308,4
2551,5
6247,6
4817,7
1696,3
861,6
4214,5
4948,5
6046,7
4184,8
1014,3
2033,3
2902,5
3493,8
1008,5
495,8
5615,5
3179,6
2115,3
5097,3
3617,7
737,4
6040,7
3605,5
1531,3
6450,3
3688,8
771,5
2303,4
2531,4
5658,5
3964,5
1034,4
5048,6
2619,5
98,4
4492,8
4972,5
2339,4
1364,8
3365,8
2234,6
2149,8
4337,5
5056,5
2270,7
2132,3
661,9
3482,8
1237,7
4901,5
4995,5
6203,5
5740,3
1785,8
2178,3
4033,7
4046,6
143,4
5928,6
5769,3
6106,7
6006,4
3414,3
6316,5
1644,3
499,5
729,4
5428,7
1828,5
3768,8
263,5
6144,5
3671,8
1570,5
4374,5
4954,5
3629,3
4456,5
5691,6
4688,5
3849,4
5077,5
3225,8
2070,4
2529,4
880,5
5592,5
4385,5
5921,7
6196,7
1467,8
2650,5
533,5
4587,8
1189,4
5070,5
3582,8
4988,5
3118,8
1524,5
528,7
6184,8
42,4
3932,8
4697,8
4202,8
3411,6
2141,3
1380,3
558,6
5644,5
2623,8
4189,4
1290,4
4549,8
6057,6
2235,4
4059,7
2756,3
6114,5
2193,6
1906,6
3955,7
3986,6
2323,7
5104,7
148,8
572,5
14,5
124,5
593,4
3961,5
4612,5
5168,6
2043,7
5295,3
2601,6
5655,4
1563,9
5169,7
2457,3
4630,8
5815,6
3175,8
2131,3
1281,7
1746,6
1391,8
3594,8
1615,3
979,4
3266,8
733,5
5190,3
2653,5
2526,7
526,8
4364,6
4762,3
5022,5
5959,7
1066,5
5540,3
2990,8
2714,5
4160,5
119,5
318,9
2817,8
6078,7
206,5
5612,3
4721,6
4482,8
3522,5
3382,8
3710,4
3545,6
1277,5
4231,8
6160,5
2456,3
3064,5
2224,3
4631,7
6145,6
1749,6
5907,6
4553,8
6231,5
6434,6
2819,8
6436,6
5058,4
3814,3
467,4
5352,7
3836,8
2824,5
4307,7
1145,5
5764,7
735,4
944,4
3407,5
2682,8
2407,7
3287,7
812,4
991,4
695,5
2631,9
4674,7
1132,5
3822,8
5970,5
1881,5
1001,5
1278,4
6158,3
5475,5
4783,5
4322,7
5397,3
5440,5
4711,8
4240,6
5342,7
5885,5
15,7
2795,7
144,7
252,5
519,8
287,5
597,6
